"1","1"
"2","2"
"3","3"
"4","4"
"5","5"
"6","6"
"7","7"
"8","8"
"9","9"
"10","10"
"11","&#201;ntekhno"
"12","80s British Soul"
"13","90s British Soul"
"14","African American Folk"
"15","Afro-Brazilian"
"16","Afro-Cuban"
"17","Afro-Cuban Jazz"
"18","Agung"
"19","Aleatoric"
"20","Alternative country (Insurgent Country, Americana)"
"21","Alternative Dance"
"22","Alternative Metal"
"23","Alternative Polka"
"24","Alternative Rock"
"25","Ambasse bey"
"26","Ambient"
"27","Ambient House"
"28","Ambient noise"
"29","Ambient pop"
"30","Ambient Techno"
"31","American Folk"
"32","Anarcho-punk"
"33","Ancient Greek"
"34","Ancient Tamil music"
"35","Andalusian"
"36","Andean folk"
"37","Andean New Age"
"38","Angola folk"
"39","Anti-folk"
"40","Appalachian music"
"41","Apple Wassail"
"42","Arabesque"
"43","Arabic music"
"44","Art Rock"
"45","Asik"
"46","Avant-garde"
"47","Avant-Garde Jazz"
"48","B&#233;l&#233;"
"49","Baggy"
"50","Ballad"
"51","Ballad Opera"
"52","Ballade"
"53","Balleres"
"54","Ballet"
"55","Ballroom"
"56","Baltimore Club"
"57","Bantu-Portuguese"
"58","Baroque"
"59","Baroque Pop"
"60","Batuque"
"61","Bay Area Thrash Metal"
"62","Beat music (British beat, Merseybeat)"
"63","Beautiful Music (BM, B/EZ, MB/EZ)"
"64","Bebop"
"65","Bel Canto"
"66","Benga"
"67","Benna"
"68","Bha&#7749;g&#7771;&#257;"
"69","Big Band"
"70","Biomusic"
"71","Bitpop"
"72","Black metal"
"73","Black/Doom"
"74","Blue-eyed soul"
"75","Bluegrass"
"76","Blues"
"77","Blues"
"78","Blues Ballad"
"79","Blues Rock"
"80","Bodabil"
"81","Bohemian folk-dance"
"82","Boogie"
"83","Boogie-woogie"
"84","Bossa Nova"
"85","Bounce"
"86","Bouncy techno"
"87","Bouyon"
"88","Brazilian Jazz"
"89","Brazilian thrash metal"
"90","Breakbeat"
"91","Breakbeat hardcore"
"92","Breakcore"
"93","Brit Funk"
"94","British Blues"
"95","British Blues"
"96","British Folk"
"97","British Folk Revival"
"98","British Jazz"
"99","British Pop"
"100","British Rock"
"101","British Soul"
"102","Britpop"
"103","Broadway theatre"
"104","Broken beat"
"105","Brown-eyed soul"
"106","Bubblegum"
"107","Burger-highlife"
"108","Burgundian chanson"
"109","Bush Ballad"
"110","Bush music"
"111","C86"
"112","Cabaret"
"113","Cadence Rampa"
"114","Cadence-lypso"
"115","Caf&#233;-chantant"
"116","Cajun"
"117","Cakewalk"
"118","Calypso"
"119","Cameroon folk"
"120","Canterbury Scene"
"121","Cantonese opera"
"122","Cantopop (HK Pop)"
"123","Cari&#241;osa"
"124","Carnatic music"
"125","Carols"
"126","Celtic metal"
"127","Celtic music"
"128","Celtic punk"
"129","Celtic rock"
"130","Changdiao"
"131","Chanson"
"132","Chanson courtoise"
"133","Chanson de geste"
"134","Chanson r&#233;aliste"
"135","Chicago Blues"
"136","Chicago Honky"
"137","Chicago House"
"138","Chicago Push"
"139","Chicago Soul"
"140","Chicha"
"141","Chill-out"
"142","Chillwave"
"143","Chindon&apos;ya"
"144","Chinese folk"
"145","Chinese hip hop"
"146","Chinese opera"
"147","Chiptune"
"148","Choro"
"149","Christian Hymns"
"150","Classical Music"
"151","Coimbra Fado"
"152","Coldwave"
"153","Comedy"
"154","Commedia Dell&apos;arte"
"155","Compas"
"156","Complextro"
"157","Congolese folk"
"158","Contemporary R&amp;B"
"159","Contradanza"
"160","Cool Jazz"
"161","Country"
"162","Country blues"
"163","Country Folk"
"164","Country Gospel"
"165","Country Rock"
"166","Cowpunk"
"167","C-Pop"
"168","Creole folk"
"169","Crossover Thrash"
"170","Crunk"
"171","Crunk&amp;B"
"172","Crunkcore"
"173","Crust Punk"
"174","Cuban rumba"
"175","Cumb&#233;"
"176","Cumbia"
"177","Dance"
"178","Dancehall"
"179","Dance-pop"
"180","Dangdut"
"181","Danzon"
"182","Dark Ambient"
"183","Dark Cabaret"
"184","Dark Wave"
"185","Darkcore"
"186","D-beat"
"187","Death Metal"
"188","Death/Doom"
"189","Deathcore"
"190","Deathgrind"
"191","Deathrock"
"192","Delta Blues"
"193","Delta Blues"
"194","Detroit Blues"
"195","Detroit techno"
"196","Disco"
"197","Disco polo"
"198","Dodoitsu"
"199","Dominican folk"
"200","Doom"
"201","Doom Metal"
"202","Doo-wop"
"203","Downtempo"
"204","Dream Pop"
"205","Drinking Songs"
"206","Drone"
"207","Drone metal"
"208","Drum and Bass"
"209","Dub"
"210","Dubstep"
"211","Dutchmen-style Polka"
"212","East Coast hip hop"
"213","East Coast Thrash Metal"
"214","Easy-listening"
"215","Electric Blues"
"216","Electric folk"
"217","Electro (Electro-funk, Electro-Boogie)"
"218","Electro grindcore"
"219","Electro House"
"220","Electro Swing"
"221","Electroacoustic improvisation"
"222","Electroclash"
"223","Electronic"
"224","Electronic Art"
